SubjectId,ItemId,Experiment,Condition,QuestionNumber,Question,UserAnswer,CorrectAnswer,IsCorrect,Score
,11.0,2.0,1.0,3,De ce a adăugat profesoara link-ul către recenzia cărții la articolul de pe blogul său?,"Ca să propună ipoteza că oamenii au schimbat mediul, ceea ce a cauzat epuizarea lemnului.","Ca să propună ipoteza că oamenii au schimbat mediul, ceea ce a cauzat epuizarea lemnului.",True,6/6
,11.0,2.0,1.0,4,Ce lipsea din Rapa Nui când au sosit europenii în 1722?,Copacii.,Copacii.,True,6/6
,11.0,2.0,1.0,5,Ce factor sugerează Jared Diamond ca fiind o potențială cauză a războaielor civile de pe Rapa Nui?,Epuizarea resurselor naturale.,Epuizarea resurselor naturale.,True,6/6
,11.0,2.0,1.0,6,Care este scopul principal al cărții lui Jared Diamond?,Să investigheze rolului istoric al daunelor de mediu provocate de om în prăbușirea civilizațiilor.,Să investigheze rolului istoric al daunelor de mediu provocate de om în prăbușirea civilizațiilor.,True,6/6
,3.0,2.0,1.0,1,Care a fost obiectivul inițial al Cadrului strategic pentru cooperarea europeană în educație și formare profesională 2020?,Un criteriu de referință în educație și formare profesională.,Mobilitatea fizică între țări în domeniul educației superioare.,False,3/6
,3.0,2.0,1.0,2,Ce măsoară criteriul de referință al UE?,"Numărul de absolvenți care au fost mobili, și-au încheiat studiile și au dobândit calificări.","Numărul de absolvenți care au fost mobili, și-au încheiat studiile și au dobândit calificări.",True,3/6
,3.0,2.0,1.0,3,Care sunt obiectivele diferite ale celor doi indicatori de referință privind mobilitatea în scop educațional?,"Unul se concentrează pe capacitatea de angajare, iar celălalt pe cetățenia activă.","Unul se concentrează pe persoanele cu calificări profesionale, iar celălalt pe absolvenții de învățământ superior.",False,3/6
,3.0,2.0,1.0,4,Care este grupul țintă al criteriului de referință privind mobilitatea în scop educațional?,Tinerii care urmează studii superioare sau care au o calificare inițială de învățământ profesional și tehnic.,Tinerii care urmează studii superioare sau care au o calificare inițială de învățământ profesional și tehnic.,True,3/6
,3.0,2.0,1.0,5,Care este scopul Comunicării Comisiei intitulată „Investiția în tinerii Europei”?,Promovarea mobilității studenților în educație.,Promovarea mobilității studenților în educație.,True,3/6
,3.0,2.0,1.0,6,De la ce tip de organizație provine acest text?,Organizație studențească internațională.,Instituție guvernamentală.,False,3/6
,12.0,2.0,1.0,1,Unde trăia omul din perioada mezolitică?,Oamenii de știință au restrâns căutarea la 7.000 de locații plauzibile.,Spania.,False,2/6
,12.0,2.0,1.0,2,Cine a descoperit cele două schelete din perioada mezolitică?,Fermieri spanioli.,Un grup de speologi.,False,2/6
,12.0,2.0,1.0,3,Ce informații oferă datarea cu carbon în legătură cu vechimea scheletelor?,Acestea provin din perioada anterioară introducerii agriculturii în Europa.,Acestea provin din perioada anterioară introducerii agriculturii în Europa.,True,2/6
,12.0,2.0,1.0,4,Ce se poate deduce despre oamenii cavernelor din perioada mezolitică pe baza obiectelor descoperite în peșteră?,Cultura lor prețuia conservarea corpurilor în peșteri.,Foloseau reni.,False,2/6
,12.0,2.0,1.0,5,Ce presupuneau oamenii de știință despre sistemul imunitar al vânătorilor-culegători înainte de testele ADN din acest studiu?,Inventarea agriculturii a avut un impact semnificativ asupra dezvoltării sistemului imunitar uman.,Inventarea agriculturii a avut un impact semnificativ asupra dezvoltării sistemului imunitar uman.,True,2/6
,12.0,2.0,1.0,6,Cum influențează această descoperire modul în care artiștii ar trebui să portretizeze vânătorii-culegători din mezolitic?,Ar trebui să deseneze vânători-culegători din mezolitic cu pielea deschisă.,Să deseneze vânători-culegători din mezolitic cu pielea închisă și ochii albaștri.,False,2/6
,9.0,2.0,1.0,1,Ce a făcut Besian Vorps când orașul a dispărut din vedere?,Și-a închis ochii pentru a ascunde vederea și a strâns mâna soției sale.,S-a apropiat de geam și a privit spre orașul care nu se mai vedea.,False,2/6
,9.0,2.0,1.0,2,Cum a fost anunțată în ziar călătoria lui Besian Vorps și a soției sale?,Ca o retragere a scriitorului Besian Vorps în masivul muntos din nord.,Ca o călătorie la munte în luna de miere.,False,2/6
,9.0,2.0,1.0,3,Cum au reacționat prietenii miresei din Tirana la planurile ei de a merge într-o călătorie în masivul muntos din nord?,Erau încântați ca cuplul să savureze munții în plină înflorire de primăvară.,Erau entuziaști și vorbeau despre legende și aventuri epice.,False,2/6
,9.0,2.0,1.0,4,Ce emoție a simțit mireasa în trăsură?,Surpriză.,Fericire.,False,2/6
,9.0,2.0,1.0,5,"Care este semnificația termenului „Stâncile Blestemate"" în text?",Termenul prefigurează întâmplări misterioase din regiune.,Termenul prefigurează întâmplări misterioase din regiune.,True,2/6
,9.0,2.0,1.0,6,Care a fost scopul urmărit de Besian prin alegerea acelei destinații de călătorie?,Besian își căuta inspirația în oamenii și peisajele din zona montană.,Besian își căuta inspirația în oamenii și peisajele din zona montană.,True,2/6
,10.0,2.0,1.0,1,Care este o modalitate bună de a furniza corpului uman nutrienți cheie conform Asociației Internaționale a Alimentelor Lactate?,Consumul zilnic de produse lactate.,Consumul zilnic de produse lactate.,True,4/6
,10.0,2.0,1.0,2,"Potrivit Asociației Internaționale a Alimentelor Lactate, cu care afirmație sunt de acord mulți profesioniști și organizații din domeniul sănătății?",Laptele furnizează toate substanțele nutritive necesare unei diete sănătoase.,Laptele este o sursă bogată de mai multe substanțe nutritive esențiale.,False,4/6
,10.0,2.0,1.0,3,Care este scopul principal al textului scris de Asociația Internațională a Alimentelor Lactate?,Să demonstreze beneficiile pentru sănătate ale produselor lactate Lacto-Farm.,Să promoveze produsele lactate Lacto-Farm.,False,4/6
,10.0,2.0,1.0,4,În ce a constatat studiul cu privire la consumatorii de lapte publicat de Jurnalului Medical Britanic în 2014?,Unele persoane au suferit mai multe fracturi osoase în funcție de sexul lor.,Unele persoane au suferit mai multe fracturi osoase în funcție de sexul lor.,True,4/6
,10.0,2.0,1.0,5,Ce se poate deduce despre popularitatea laptelui de vacă în Statele Unite?,Laptele rămâne un aliment de bază în alimentația persoanelor din toate grupele de vârstă.,Laptele rămâne un aliment de bază în alimentația persoanelor din toate grupele de vârstă.,True,4/6
,10.0,2.0,1.0,6,Cei doi autori nu sunt de acord cu privire la rolul laptelui într-o dietă obișnuită. Care este principalul punct asupra căruia nu sunt de acord?,Efectele pe termen lung ale laptelui asupra sănătății.,Efectele pe termen lung ale laptelui asupra sănătății.,True,4/6
,6.0,2.0,1.0,1,Cum era Hans Castorp?,Tânăr modest și deopotrivă de simpatic.,Tânăr modest și deopotrivă de simpatic.,True,3/6
,6.0,2.0,1.0,2,De ce a pledat naratorul ca povestea să fie relatată cu mare băgare de seamă?,Povestea a avut loc în trecut.,Naratorul consideră că ceea ce este lucrat cu îngrijire este plăcut.,False,3/6
,6.0,2.0,1.0,3,De ce a subliniat naratorul trecutul exagerat al povestirii?,Pentru a sublinia unicitatea experiențelor lui Hans.,Pentru a-i da poveștii statutul de legendă.,False,3/6
,6.0,2.0,1.0,4,Ce a evitat naratorul cu bună știință?,Orice urmă de prezent.,Orice urmă de prezent.,True,3/6
,6.0,2.0,1.0,5,De ce a fost important ca povestea să fie plasată în trecut?,Pentru a sublinia caracterul continuu al experiențelor lui Hans.,Să evidențieze faptul că lumea era diferită înainte de Marele Război.,False,3/6
,6.0,2.0,1.0,6,Care este scopul principal al acestui text?,Să pregătească terenul pentru o poveste detaliată despre Hans.,Să pregătească terenul pentru o poveste detaliată despre Hans.,True,3/6
